transaction_id,customer_id,segment,sku,product_name,category,supplier,quantity,base_price,unit_price,total_amount,discount_pct,date,month,quarter,payment_terms,source
TXN-000001,CUST-0111,pharma_enterprise,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Cayman Chemical,100,131.94,151.85,15184.89,4.09,2025-03-06,3,Q1,NET45,real_market_simulation
TXN-000002,CUST-0116,pharma_enterprise,CHEM-5280445,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",specialty_chemicals,Sigma-Aldrich,100,198.69,162.5,16249.62,3.78,2025-06-06,6,Q2,NET45,real_market_simulation
TXN-000003,CUST-0116,pharma_enterprise,CHEM-3672,2-[4-(2-methylpropyl)phenyl]propanoic acid,organic_chemicals,Cayman Chemical,100,131.94,129.68,12967.81,6.39,2024-11-01,11,Q4,NET45,real_market_simulation
TXN-000004,CUST-0065,biotech_startup,CHEM-5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",organic_chemicals,Cayman Chemical,48,197.34,183.98,8830.97,11.21,2024-08-27,8,Q3,NET15,real_market_simulation
TXN-000005,CUST-0147,pharma_enterprise,CHEM-3364,"6-[[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-a",organic_chemicals,Cayman Chemical,100,241.1,274.63,27462.98,8.87,2024-09-26,9,Q3,NET45,real_market_simulation
TXN-000006,CUST-0034,academic_research,CHEM-5281004,"(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyc",specialty_chemicals,Sigma-Aldrich,8,300.61,275.36,2202.88,16.73,2025-02-21,2,Q1,NET30,real_market_simulation
TXN-000007,CUST-0154,pharma_enterprise,CHEM-5282102,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]ox",specialty_chemicals,Merck,100,291.16,339.1,33910.27,6.83,2024-09-17,9,Q3,NET45,real_market_simulation
TXN-000008,CUST-0012,academic_research,CHEM-2244,2-acetyloxybenzoic acid,organic_chemicals,Sigma-Aldrich,6,133.98,140.59,843.57,16.05,2024-09-11,9,Q3,NET30,real_market_simulation
TXN-000009,CUST-0006,academic_research,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,Thermo Fisher,19,213.37,212.6,4039.37,16.97,2025-03-03,3,Q1,NET30,real_market_simulation
TXN-000010,CUST-0160,government_lab,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,100,124.12,105.06,10505.61,10.9,2025-07-09,7,Q3,NET60,real_market_simulation
TXN-000011,CUST-0124,pharma_enterprise,CHEM-4485,"dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",specialty_chemicals,Cayman Chemical,100,187.18,203.05,20304.61,5.67,2024-10-11,10,Q4,NET45,real_market_simulation
TXN-000012,CUST-0006,academic_research,CHEM-5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",specialty_chemicals,Merck,18,195.95,143.11,2575.9,18.85,2024-12-26,12,Q4,NET30,real_market_simulation
TXN-000013,CUST-0154,pharma_enterprise,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,Thermo Fisher,100,213.37,221.48,22147.8,9.74,2024-10-04,10,Q4,NET45,real_market_simulation
TXN-000014,CUST-0166,government_lab,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,VWR,79,329.41,349.2,27586.5,7.82,2025-01-13,1,Q1,NET60,real_market_simulation
TXN-000015,CUST-0019,academic_research,CHEM-2244,2-acetyloxybenzoic acid,organic_chemicals,Sigma-Aldrich,9,133.98,115.37,1038.34,17.99,2024-11-29,11,Q4,NET30,real_market_simulation
TXN-000016,CUST-0164,government_lab,CHEM-439155,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoi",organic_chemicals,Merck,100,228.49,212.19,21218.84,11.56,2025-08-09,8,Q3,NET60,real_market_simulation
TXN-000017,CUST-0078,biotech_startup,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,VWR,17,329.41,333.55,5670.42,11.95,2025-01-15,1,Q1,NET15,real_market_simulation
TXN-000018,CUST-0108,pharma_enterprise,CHEM-5362129,"(2S,3aS,6aS)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-3,3a,4,5,6,6a-hexah",organic_chemicals,Merck,100,282.58,235.01,23500.66,7.59,2025-05-20,5,Q2,NET45,real_market_simulation
TXN-000019,CUST-0141,pharma_enterprise,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,Thermo Fisher,100,213.37,178.84,17884.05,6.87,2024-12-18,12,Q4,NET45,real_market_simulation
TXN-000020,CUST-0015,academic_research,CHEM-60823,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhe",organic_chemicals,VWR,6,329.41,347.47,2084.8,15.61,2024-09-04,9,Q3,NET30,real_market_simulation
TXN-000021,CUST-0050,academic_research,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,Cayman Chemical,4,249.78,197.72,790.87,16.68,2025-07-11,7,Q3,NET30,real_market_simulation
TXN-000022,CUST-0053,biotech_startup,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,Thermo Fisher,46,213.37,202.07,9295.05,9.81,2024-11-24,11,Q4,NET15,real_market_simulation
TXN-000023,CUST-0023,academic_research,CHEM-2244,2-acetyloxybenzoic acid,organic_chemicals,Sigma-Aldrich,9,133.98,88.53,796.74,22.26,2025-06-20,6,Q2,NET30,real_market_simulation
TXN-000024,CUST-0077,biotech_startup,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,46,187.86,181.79,8362.4,7.84,2024-08-23,8,Q3,NET15,real_market_simulation
