transaction_id,date,customer_id,segment,sku,product_name,category,supplier,quantity,unit_price,base_price,total_amount,weight_kg,hs_code,country_of_origin,is_real_product
LS000001,2025-07-31,BIO7570,Biotech Startup,BR2228129,CFX96 Real-Time PCR Detection System with Gradient,lab_equipment,Bio-Rad,10,22045.53,24133.91,220455.29,161.20000000000002,9027.80.45,USA,True
LS000002,2024-08-25,RES7457,Research Institute,TF1782738,Alexa Fluor 488 NHS Ester - Bulk,reagents,Thermo Fisher Scientific,5,519.49,574.36,2597.46,0.05,3822.00.10,USA,True
LS000003,2023-09-01,PHA2421,Pharma Enterprise,BR2228129,CFX96 Real-Time PCR Detection System with Gradient,lab_equipment,Bio-Rad,25,26207.88,24133.91,655197.06,403.0,9027.80.45,USA,True
LS000004,2023-12-11,GOV1879,Government Lab,278475-5G,Isopropanol - ACS reagent - 5g,chemicals,Sigma-Aldrich,1,120.35,150.86,120.35,0.005,2905.11.00,Germany,True
LS000005,2025-05-23,BIO9296,Biotech Startup,TF5889880,MaxQ 4000 Benchtop Orbital Shaker - Educational,lab_equipment,Thermo Fisher Scientific,1,2676.09,2798.06,2676.09,22.296,9027.80.45,USA,True
LS000006,2024-06-04,PHA9834,Pharma Enterprise,BR9916773,T100 Thermal Cycler Educational,lab_equipment,Bio-Rad,25,6781.99,6559.08,169549.68,286.5,9027.80.45,USA,True
LS000007,2023-09-07,GOV1688,Government Lab,U5378-5G,Urea - BioXtra - 5g,biochemicals,Sigma-Aldrich,1,1694.14,1957.3,1694.14,0.005,3822.00.10,Germany,True
LS000008,2024-04-09,CRO2709,CRO,EP873030,Research plus Pipette 100-1000 µL - Starter Kit,lab_equipment,Eppendorf,100,337.33,342.0,33732.89,10.0,9027.80.45,Germany,True
LS000009,2024-10-16,BIO2433,Biotech Startup,EP607502,Research plus Pipette 20-200 µL - Standard,lab_equipment,Eppendorf,25,243.53,285.0,6088.25,2.5,9027.80.45,Germany,True
LS000010,2025-03-05,RES6848,Research Institute,BR6120218,PowerPac HC High-Current Power Supply Educational,lab_equipment,Bio-Rad,2,1550.15,1719.35,3100.3,7.18,9027.80.45,USA,True
LS000011,2024-07-17,BIO5975,Biotech Startup,TF6113092,EVOS M5000 Imaging System - Educational,lab_equipment,Thermo Fisher Scientific,2,28770.18,32113.39,57540.37,22.45,9027.80.45,USA,True
LS000012,2024-12-29,PHA1127,Pharma Enterprise,BR4161080,Mini-PROTEAN Tetra Cell with Gradient,lab_equipment,Bio-Rad,100,1027.4,997.81,102739.97,172.0,9027.80.45,USA,True
LS000013,2024-12-22,GOV5678,Government Lab,BR2823598,Mini-PROTEAN Tetra Cell Bundle,lab_equipment,Bio-Rad,1,826.93,952.3,826.93,1.95,9027.80.45,USA,True
LS000014,2025-02-09,CRO3655,CRO,EP537006,5430 Microcentrifuge 24 tubes - Standard,lab_equipment,Eppendorf,25,3963.81,4500.0,99095.35,462.5,9027.80.45,Germany,True
LS000015,2025-01-29,BIO7957,Biotech Startup,N8129-1G,NADH - Disodium salt - 1g,biochemicals,Sigma-Aldrich,2,718.74,814.26,1437.48,0.002,3822.00.10,Germany,True
LS000016,2024-04-07,GOV6617,Government Lab,BR2613819,4-20% Mini-PROTEAN TGX Gels Educational,lab_equipment,Bio-Rad,5,63.56,80.12,317.81,0.75,9027.80.45,USA,True
LS000017,2025-03-28,PHA4325,Pharma Enterprise,TF5432038,Pierce BCA Protein Assay Kit - Clinical,reagents,Thermo Fisher Scientific,50,321.36,319.53,16068.08,23.35,3822.00.10,USA,True
LS000018,2024-09-18,PHA1145,Pharma Enterprise,G5516-1G,Glycerol - Molecular biology - 1g,biochemicals,Sigma-Aldrich,50,477.66,453.72,23883.14,0.05,3822.00.10,Germany,True
LS000019,2024-06-13,RES7819,Research Institute,T6508-100G,Trifluoroacetic acid - ReagentPlus® - 100g,chemicals,Sigma-Aldrich,5,3101.38,3626.69,15506.91,0.5,2905.11.00,Germany,True
LS000020,2023-09-21,ACA7247,Academic,BR2107563,Gel Doc EZ Imager Bundle,lab_equipment,Bio-Rad,1,13830.73,15452.9,13830.73,8.82,9027.80.45,USA,True
LS000021,2024-01-29,ACA4549,Academic,G8270-25G,Glucose - ACS reagent - 25g,biochemicals,Sigma-Aldrich,1,5300.98,6076.01,5300.98,0.025,3822.00.10,Germany,True
LS000022,2024-07-16,CRO3044,CRO,D8418-25G,Dimethyl sulfoxide - BioReagent - 25g,chemicals,Sigma-Aldrich,50,889.93,936.53,44496.49,1.25,2905.11.00,Germany,True
LS000023,2024-04-12,PHA4387,Pharma Enterprise,BR9916773,T100 Thermal Cycler Educational,lab_equipment,Bio-Rad,25,7067.54,6559.08,176688.39,286.5,9027.80.45,USA,True
LS000024,2025-03-11,BIO8711,Biotech Startup,G5516-5G,Glycerol - Molecular biology - 5g,biochemicals,Sigma-Aldrich,2,1816.15,1905.64,3632.29,0.01,3822.00.10,Germany,True
LS000025,2025-05-04,PHA8889,Pharma Enterprise,271004-25G,Acetonitrile - CHROMASOLV® - 25g,chemicals,Sigma-Aldrich,100,1028.12,993.91,102811.69,2.5,2905.11.00,Germany,True
LS000026,2024-05-11,RES3946,Research Institute,EP891125,epTIPS Pipette Tips 0.1-10 µL - Starter Kit,lab_equipment,Eppendorf,5,82.5,102.0,412.52,0.25,9027.80.45,Germany,True
LS000027,2024-02-26,BIO9525,Biotech Startup,BR4797136,Criterion TGX Precast Gels with Gradient,lab_equipment,Bio-Rad,5,74.74,85.35,373.72,0.8,9027.80.45,USA,True
LS000028,2025-05-12,BIO5113,Biotech Startup,372978-5G,Chloroform - ACS reagent - 5g,chemicals,Sigma-Aldrich,10,248.16,297.2,2481.61,0.05,2905.11.00,Germany,True
LS000029,2025-02-18,GOV7775,Government Lab,EP643296,Research plus Pipette 100-1000 µL - Standard,lab_equipment,Eppendorf,5,215.89,285.0,1079.46,0.5,9027.80.45,Germany,True
LS000030,2025-05-11,RES4510,Research Institute,P9416-1G,Tween 20 - BioReagent - 1g,reagents,Sigma-Aldrich,2,131.61,153.78,263.21,0.002,3822.00.10,Germany,True
LS000031,2024-07-04,GOV9953,Government Lab,BR2823598,Mini-PROTEAN Tetra Cell Bundle,lab_equipment,Bio-Rad,1,840.35,952.3,840.35,1.95,9027.80.45,USA,True
LS000032,2023-12-22,GOV1192,Government Lab,T6508-25G,Trifluoroacetic acid - ReagentPlus® - 25g,chemicals,Sigma-Aldrich,5,1064.7,1273.37,5323.5,0.125,2905.11.00,Germany,True
LS000033,2023-10-24,PHA3424,Pharma Enterprise,BR6523719,4-20% Mini-PROTEAN TGX Gels Bundle,lab_equipment,Bio-Rad,50,64.76,64.76,3237.93,9.0,9027.80.45,USA,True
LS000034,2025-02-04,CRO4898,CRO,TF4022212,Sorvall LYNX 4000 Superspeed Centrifuge - Standard,lab_equipment,Thermo Fisher Scientific,100,45593.3,49085.5,4559329.51,9163.0,9027.80.45,USA,True
LS000035,2024-05-06,RES2337,Research Institute,TF8170450,EVOS M5000 Imaging System - Educational,lab_equipment,Thermo Fisher Scientific,1,27441.4,31333.0,27441.4,10.497,9027.80.45,USA,True
LS000036,2023-10-17,BIO9276,Biotech Startup,G8270-1G,Glucose - ACS reagent - 1g,biochemicals,Sigma-Aldrich,5,349.37,384.56,1746.85,0.005,3822.00.10,Germany,True
LS000037,2024-02-06,BIO1356,Biotech Startup,EP574831,Research plus Pipette 2-20 µL - Starter Kit,lab_equipment,Eppendorf,5,294.5,342.0,1472.5,0.5,9027.80.45,Germany,True
LS000038,2023-09-05,PHA8224,Pharma Enterprise,TF8583113,TipOne Filter Tips 1000µL - Research,consumables,Thermo Fisher Scientific,50,97.75,100.61,4887.46,23.9,3926.90.99,USA,True
LS000039,2024-09-08,ACA8697,Academic,TF8170450,EVOS M5000 Imaging System - Educational,lab_equipment,Thermo Fisher Scientific,2,28397.35,31333.0,56794.71,20.994,9027.80.45,USA,True
LS000040,2024-12-06,GOV4536,Government Lab,T1503-1G,Tris base - ACS reagent - 1g,reagents,Sigma-Aldrich,1,166.7,194.42,166.7,0.001,3822.00.10,Germany,True
LS000041,2024-09-23,RES9426,Research Institute,L3771-100G,SDS - BioReagent - 100g,reagents,Sigma-Aldrich,1,7058.95,7450.72,7058.95,0.1,3822.00.10,Germany,True
LS000042,2024-08-11,CRO4638,CRO,EP396246,epTIPS Pipette Tips 0.1-10 µL - Standard,lab_equipment,Eppendorf,25,82.51,85.0,2062.8,1.25,9027.80.45,Germany,True
LS000043,2023-10-03,ACA1839,Academic,BR4167191,PowerPac HC High-Current Power Supply,lab_equipment,Bio-Rad,3,1164.09,1428.26,3492.27,10.92,9027.80.45,USA,True
LS000044,2023-08-26,RES9100,Research Institute,G5516-1G,Glycerol - Molecular biology - 1g,biochemicals,Sigma-Aldrich,2,383.31,453.72,766.62,0.002,3822.00.10,Germany,True
LS000045,2025-06-07,RES9172,Research Institute,BR2341757,Criterion TGX Precast Gels Bundle,lab_equipment,Bio-Rad,10,65.72,77.54,657.19,2.2,9027.80.45,USA,True
LS000046,2025-06-03,PHA7762,Pharma Enterprise,P9416-1G,Tween 20 - BioReagent - 1g,reagents,Sigma-Aldrich,10,163.46,153.78,1634.6,0.01,3822.00.10,Germany,True
LS000047,2024-09-30,CRO2381,CRO,271004-1G,Acetonitrile - CHROMASOLV® - 1g,chemicals,Sigma-Aldrich,25,62.67,62.91,1566.65,0.025,2905.11.00,Germany,True
LS000048,2025-07-15,GOV9222,Government Lab,TF4877806,TipOne Filter Tips 1000µL - Standard,consumables,Thermo Fisher Scientific,2,71.22,83.92,142.44,1.014,3926.90.99,USA,True
LS000049,2023-10-05,PHA3844,Pharma Enterprise,U5378-100G,Urea - BioXtra - 100g,biochemicals,Sigma-Aldrich,5,24069.1,20971.04,120345.5,0.5,3822.00.10,Germany,True
LS000050,2025-02-03,CRO2117,CRO,EP255105,Research plus Pipette 0.5-10 µL - Standard,lab_equipment,Eppendorf,25,265.46,285.0,6636.45,2.5,9027.80.45,Germany,True
LS000051,2024-07-04,CRO5528,CRO,BR6120218,PowerPac HC High-Current Power Supply Educational,lab_equipment,Bio-Rad,5,1721.75,1719.35,8608.75,17.95,9027.80.45,USA,True
LS000052,2024-06-04,CRO3080,CRO,G8270-1G,Glucose - ACS reagent - 1g,biochemicals,Sigma-Aldrich,25,372.71,384.56,9317.71,0.025,3822.00.10,Germany,True
LS000053,2024-01-22,RES8779,Research Institute,E7023-1G,Ethanol - 200 proof - 1g,chemicals,Sigma-Aldrich,10,37.97,45.45,379.72,0.01,2905.11.00,Germany,True
LS000054,2023-10-24,CRO4961,CRO,A3311-5G,BSA - Fraction V - 5g,reagents,Sigma-Aldrich,100,406.94,450.2,40693.8,0.5,3822.00.10,Germany,True
LS000055,2024-05-18,RES3844,Research Institute,TF3115657,Pierce BCA Protein Assay Kit - Clinical,reagents,Thermo Fisher Scientific,1,215.69,249.84,215.69,0.474,3822.00.10,USA,True
LS000056,2023-12-01,RES2688,Research Institute,TF4022212,Sorvall LYNX 4000 Superspeed Centrifuge - Standard,lab_equipment,Thermo Fisher Scientific,5,42531.33,49085.5,212656.64,458.15,9027.80.45,USA,True
LS000057,2024-01-15,BIO5928,Biotech Startup,TF8636370,Matrix 2D Barcoded Tubes - Clinical,consumables,Thermo Fisher Scientific,2,225.12,238.73,450.25,0.606,3926.90.99,USA,True
LS000058,2024-05-07,PHA3624,Pharma Enterprise,BR1933425,Criterion TGX Precast Gels Starter Pack,lab_equipment,Bio-Rad,10,86.27,85.17,862.74,1.7999999999999998,9027.80.45,USA,True
LS000059,2024-01-07,ACA7466,Academic,L3771-100G,SDS - BioReagent - 100g,reagents,Sigma-Aldrich,1,6351.25,7450.72,6351.25,0.1,3822.00.10,Germany,True
LS000060,2025-06-28,RES7455,Research Institute,TF2318340,Nunc 96-Well Polystyrene Plates - Clinical,consumables,Thermo Fisher Scientific,5,107.39,123.5,536.96,0.9950000000000001,3926.90.99,USA,True
LS000061,2024-06-23,PHA6432,Pharma Enterprise,G8270-1G,Glucose - ACS reagent - 1g,biochemicals,Sigma-Aldrich,50,379.65,384.56,18982.43,0.05,3822.00.10,Germany,True
LS000062,2023-11-17,RES7464,Research Institute,EP537006,5430 Microcentrifuge 24 tubes - Standard,lab_equipment,Eppendorf,10,3799.04,4500.0,37990.43,185.0,9027.80.45,Germany,True
LS000063,2025-02-06,ACA9466,Academic,BR1933425,Criterion TGX Precast Gels Starter Pack,lab_equipment,Bio-Rad,1,73.43,85.17,73.43,0.18,9027.80.45,USA,True
LS000064,2023-11-24,RES6860,Research Institute,TF1332121,Lipofectamine 3000 Transfection Reagent - Educational,reagents,Thermo Fisher Scientific,5,447.93,503.23,2239.67,1.06,3822.00.10,USA,True
LS000065,2024-09-04,RES6540,Research Institute,TF1332121,Lipofectamine 3000 Transfection Reagent - Educational,reagents,Thermo Fisher Scientific,5,435.35,503.23,2176.73,1.06,3822.00.10,USA,True
LS000066,2025-02-11,PHA1511,Pharma Enterprise,E7023-5G,Ethanol - 200 proof - 5g,chemicals,Sigma-Aldrich,25,192.4,190.87,4809.97,0.125,2905.11.00,Germany,True
LS000067,2024-12-25,ACA8073,Academic,E5134-25G,EDTA - BioXtra - 25g,reagents,Sigma-Aldrich,3,2549.98,3072.53,7649.93,0.07500000000000001,3822.00.10,Germany,True
LS000068,2024-02-23,BIO5655,Biotech Startup,TF5847784,Alexa Fluor 488 NHS Ester - Clinical,reagents,Thermo Fisher Scientific,5,471.86,529.43,2359.29,0.05499999999999999,3822.00.10,USA,True
LS000069,2024-07-23,CRO2289,CRO,TF5546600,SuperScript IV Reverse Transcriptase - Bulk,reagents,Thermo Fisher Scientific,10,439.66,469.7,4396.59,1.02,3822.00.10,USA,True
LS000070,2024-05-29,GOV7309,Government Lab,TF8561404,Sorvall LYNX 4000 Superspeed Centrifuge - Educational,lab_equipment,Thermo Fisher Scientific,2,41420.91,52662.54,82841.82,167.698,9027.80.45,USA,True
LS000071,2024-08-31,CRO6213,CRO,BR4161080,Mini-PROTEAN Tetra Cell with Gradient,lab_equipment,Bio-Rad,25,880.75,997.81,22018.83,43.0,9027.80.45,USA,True
LS000072,2023-09-07,RES9634,Research Institute,B6916-5G,Bradford reagent - Protein Assay - 5g,reagents,Sigma-Aldrich,1,523.94,562.04,523.94,0.005,3822.00.10,Germany,True
LS000073,2025-01-31,CRO9468,CRO,BR2967292,Gel Doc EZ Imager Bundle,lab_equipment,Bio-Rad,10,15199.24,15389.34,151992.42,94.9,9027.80.45,USA,True
LS000074,2023-10-06,PHA8076,Pharma Enterprise,EP910012,5424 Microcentrifuge 24 tubes - Standard,lab_equipment,Eppendorf,10,3359.59,3200.0,33595.94,152.0,9027.80.45,Germany,True
LS000075,2025-05-02,CRO5111,CRO,L3771-5G,SDS - BioReagent - 5g,reagents,Sigma-Aldrich,100,687.3,695.4,68730.19,0.5,3822.00.10,Germany,True
LS000076,2024-03-08,PHA2467,Pharma Enterprise,TF5872554,MaxQ 4000 Benchtop Orbital Shaker - Research,lab_equipment,Thermo Fisher Scientific,25,2926.47,2925.09,73161.77,561.525,9027.80.45,USA,True
LS000077,2025-01-16,BIO9495,Biotech Startup,TF3812018,MaxQ 4000 Benchtop Orbital Shaker - Educational,lab_equipment,Thermo Fisher Scientific,10,2483.28,2722.37,24832.8,293.14,9027.80.45,USA,True
LS000078,2024-01-17,BIO4810,Biotech Startup,278475-1G,Isopropanol - ACS reagent - 1g,chemicals,Sigma-Aldrich,5,31.88,35.92,159.42,0.005,2905.11.00,Germany,True
LS000079,2023-11-25,RES5724,Research Institute,T1503-1G,Tris base - ACS reagent - 1g,reagents,Sigma-Aldrich,5,165.13,194.42,825.63,0.005,3822.00.10,Germany,True
LS000080,2025-04-27,ACA6663,Academic,TF6011376,EVOS M5000 Imaging System - Research,lab_equipment,Thermo Fisher Scientific,1,24222.3,29110.41,24222.3,15.049,9027.80.45,USA,True
LS000081,2025-07-31,CRO6761,CRO,BR3569477,C1000 Touch Thermal Cycler Starter Pack,lab_equipment,Bio-Rad,10,8402.66,8362.2,84026.63,128.8,9027.80.45,USA,True
LS000082,2024-06-21,GOV4675,Government Lab,TF1782738,Alexa Fluor 488 NHS Ester - Bulk,reagents,Thermo Fisher Scientific,1,452.95,574.36,452.95,0.01,3822.00.10,USA,True
LS000083,2024-06-07,GOV5561,Government Lab,TF2416917,Pierce BCA Protein Assay Kit - Clinical,reagents,Thermo Fisher Scientific,1,220.93,279.02,220.93,0.417,3822.00.10,USA,True
LS000084,2024-04-22,RES1751,Research Institute,TF2736953,MaxQ 4000 Benchtop Orbital Shaker - Bulk,lab_equipment,Thermo Fisher Scientific,2,3158.92,3714.47,6317.84,40.956,9027.80.45,USA,True
LS000085,2024-06-08,PHA7237,Pharma Enterprise,EP574831,Research plus Pipette 2-20 µL - Starter Kit,lab_equipment,Eppendorf,100,340.62,342.0,34061.93,10.0,9027.80.45,Germany,True
LS000086,2024-10-29,BIO7834,Biotech Startup,A2383-5G,ATP - Disodium salt - 5g,biochemicals,Sigma-Aldrich,5,4843.31,5132.41,24216.56,0.025,3822.00.10,Germany,True
LS000087,2024-04-27,PHA5209,Pharma Enterprise,BR6664909,PowerPac HC High-Current Power Supply Bundle,lab_equipment,Bio-Rad,25,1365.41,1402.1,34135.13,77.5,9027.80.45,USA,True
LS000088,2024-03-09,ACA2648,Academic,T6508-1G,Trifluoroacetic acid - ReagentPlus® - 1g,chemicals,Sigma-Aldrich,1,71.23,80.59,71.23,0.001,2905.11.00,Germany,True
LS000089,2025-02-20,ACA8725,Academic,G8270-100G,Glucose - ACS reagent - 100g,biochemicals,Sigma-Aldrich,2,14268.06,17305.1,28536.12,0.2,3822.00.10,Germany,True
LS000090,2024-03-08,ACA8878,Academic,TF4985721,Matrix 2D Barcoded Tubes - Bulk,consumables,Thermo Fisher Scientific,2,201.21,221.53,402.41,0.69,3926.90.99,USA,True
LS000091,2024-01-09,ACA9497,Academic,EP298535,Research plus Pipette 2-20 µL - Standard,lab_equipment,Eppendorf,3,236.43,285.0,709.28,0.30000000000000004,9027.80.45,Germany,True
LS000092,2024-09-25,RES2559,Research Institute,TF6621676,Lipofectamine 3000 Transfection Reagent - Research,reagents,Thermo Fisher Scientific,1,407.3,440.89,407.3,0.25,3822.00.10,USA,True
LS000093,2025-05-23,BIO9930,Biotech Startup,271004-5G,Acetonitrile - CHROMASOLV® - 5g,chemicals,Sigma-Aldrich,5,244.02,264.2,1220.09,0.025,2905.11.00,Germany,True
LS000094,2023-08-22,CRO1884,CRO,EP607502,Research plus Pipette 20-200 µL - Standard,lab_equipment,Eppendorf,25,257.74,285.0,6443.43,2.5,9027.80.45,Germany,True
LS000095,2025-05-20,ACA6924,Academic,BR9309420,T100 Thermal Cycler Educational,lab_equipment,Bio-Rad,3,5149.67,5984.93,15449.02,25.08,9027.80.45,USA,True
LS000096,2024-01-30,PHA3315,Pharma Enterprise,TF2085129,SuperScript IV Reverse Transcriptase - Educational,reagents,Thermo Fisher Scientific,10,467.15,458.28,4671.46,1.28,3822.00.10,USA,True
LS000097,2024-10-05,CRO3991,CRO,TF7018782,Lipofectamine 3000 Transfection Reagent - Educational,reagents,Thermo Fisher Scientific,10,503.38,495.2,5033.82,2.48,3822.00.10,USA,True
LS000098,2024-09-28,BIO4955,Biotech Startup,271004-25G,Acetonitrile - CHROMASOLV® - 25g,chemicals,Sigma-Aldrich,2,877.4,993.91,1754.81,0.05,2905.11.00,Germany,True
LS000099,2024-06-27,CRO1740,CRO,U5378-5G,Urea - BioXtra - 5g,biochemicals,Sigma-Aldrich,50,1755.38,1957.3,87768.76,0.25,3822.00.10,Germany,True
LS000100,2025-07-10,PHA9859,Pharma Enterprise,L3771-5G,SDS - BioReagent - 5g,reagents,Sigma-Aldrich,5,797.29,695.4,3986.43,0.025,3822.00.10,Germany,True
LS000101,2025-06-24,ACA7343,Academic,34859-1G,Hexane - HPLC - 1g,chemicals,Sigma-Aldrich,1,52.38,57.8,52.38,0.001,2905.11.00,Germany,True
LS000102,2025-07-03,RES4724,Research Institute,TF8009047,Nunc 96-Well Polystyrene Plates - Bulk,consumables,Thermo Fisher Scientific,5,127.41,153.53,637.07,0.9750000000000001,3926.90.99,USA,True
LS000103,2024-04-25,RES5992,Research Institute,TF6011376,EVOS M5000 Imaging System - Research,lab_equipment,Thermo Fisher Scientific,2,24958.18,29110.41,49916.35,30.098,9027.80.45,USA,True
LS000104,2025-07-21,RES4523,Research Institute,D8418-1G,Dimethyl sulfoxide - BioReagent - 1g,chemicals,Sigma-Aldrich,5,51.55,59.27,257.73,0.005,2905.11.00,Germany,True
LS000105,2023-10-08,PHA4431,Pharma Enterprise,TF1537225,Matrix 2D Barcoded Tubes - Standard,consumables,Thermo Fisher Scientific,25,241.3,221.27,6032.6,6.775,3926.90.99,USA,True
LS000106,2025-03-16,GOV4786,Government Lab,TF5433003,TipOne Filter Tips 1000µL - Bulk,consumables,Thermo Fisher Scientific,1,61.19,74.42,61.19,0.421,3926.90.99,USA,True
LS000107,2023-12-02,GOV3806,Government Lab,BR6664909,PowerPac HC High-Current Power Supply Bundle,lab_equipment,Bio-Rad,5,1118.06,1402.1,5590.3,15.5,9027.80.45,USA,True
LS000108,2024-04-23,CRO3388,CRO,E7023-25G,Ethanol - 200 proof - 25g,chemicals,Sigma-Aldrich,25,649.75,718.04,16243.78,0.625,2905.11.00,Germany,True
LS000109,2024-01-10,ACA1353,Academic,BR6523719,4-20% Mini-PROTEAN TGX Gels Bundle,lab_equipment,Bio-Rad,1,57.61,64.76,57.61,0.18,9027.80.45,USA,True
LS000110,2024-01-01,CRO8552,CRO,B6916-5G,Bradford reagent - Protein Assay - 5g,reagents,Sigma-Aldrich,50,541.13,562.04,27056.5,0.25,3822.00.10,Germany,True
LS000111,2024-01-30,BIO3216,Biotech Startup,TF3010566,Matrix 2D Barcoded Tubes - Clinical,consumables,Thermo Fisher Scientific,5,212.78,228.74,1063.89,1.7100000000000002,3926.90.99,USA,True
LS000112,2023-12-12,ACA4599,Academic,U5378-100G,Urea - BioXtra - 100g,biochemicals,Sigma-Aldrich,1,18762.85,20971.04,18762.85,0.1,3822.00.10,Germany,True
LS000113,2023-12-01,CRO2728,CRO,278475-5G,Isopropanol - ACS reagent - 5g,chemicals,Sigma-Aldrich,10,151.51,150.86,1515.08,0.05,2905.11.00,Germany,True
LS000114,2024-08-26,BIO2003,Biotech Startup,E7023-100G,Ethanol - 200 proof - 100g,chemicals,Sigma-Aldrich,2,1993.73,2045.06,3987.47,0.2,2905.11.00,Germany,True
LS000115,2024-01-31,PHA9949,Pharma Enterprise,TF4985721,Matrix 2D Barcoded Tubes - Bulk,consumables,Thermo Fisher Scientific,50,220.24,221.53,11011.9,17.25,3926.90.99,USA,True
LS000116,2024-11-05,RES7863,Research Institute,BR2613819,4-20% Mini-PROTEAN TGX Gels Educational,lab_equipment,Bio-Rad,5,67.89,80.12,339.45,0.75,9027.80.45,USA,True
LS000117,2025-01-26,GOV7290,Government Lab,TF8561404,Sorvall LYNX 4000 Superspeed Centrifuge - Educational,lab_equipment,Thermo Fisher Scientific,1,42080.9,52662.54,42080.9,83.849,9027.80.45,USA,True
LS000118,2023-12-13,ACA4670,Academic,TF4204816,Sorvall LYNX 4000 Superspeed Centrifuge - Clinical,lab_equipment,Thermo Fisher Scientific,2,37610.47,41600.36,75220.93,186.814,9027.80.45,USA,True
LS000119,2024-05-02,BIO9876,Biotech Startup,BR4797136,Criterion TGX Precast Gels with Gradient,lab_equipment,Bio-Rad,1,82.38,85.35,82.38,0.16,9027.80.45,USA,True
