transaction_id,customer_id,segment,sku,product_name,category,supplier,quantity,base_price,unit_price,total_amount,discount_pct,date,month,quarter,payment_terms,source
TXN-000001,CUST-0034,academic_research,CHEM-681,"4-(2-aminoethyl)benzene-1,2-diol",specialty_chemicals,Merck,13,116.34,111.91,1454.88,16.35,2025-01-19,1,Q1,NET30,real_market_simulation
TXN-000002,CUST-0191,contract_research,CHEM-4485,"dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",specialty_chemicals,Thermo Fisher,53,230.51,236.98,12560.07,10.6,2025-01-02,1,Q1,NET30,real_market_simulation
TXN-000003,CUST-0149,pharma_enterprise,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,100,259.51,216.61,21661.43,7.25,2024-12-29,12,Q4,NET45,real_market_simulation
TXN-000004,CUST-0066,biotech_startup,CHEM-3364,"6-[[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-a",organic_chemicals,Cayman Chemical,37,312.91,346.17,12808.14,7.81,2025-03-11,3,Q1,NET15,real_market_simulation
TXN-000005,CUST-0058,biotech_startup,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,42,259.51,268.91,11294.19,9.89,2025-01-12,1,Q1,NET15,real_market_simulation
TXN-000006,CUST-0031,academic_research,CHEM-5280343,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",specialty_chemicals,Cayman Chemical,13,207.5,221.64,2881.3,14.55,2024-09-01,9,Q3,NET30,real_market_simulation
TXN-000007,CUST-0045,academic_research,CHEM-6918485,"4-[2-[(2R,3R)-3-(2,5-difluorophenyl)-3-hydroxy-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]be",specialty_chemicals,Cayman Chemical,10,318.62,307.65,3076.5,16.04,2024-10-10,10,Q4,NET30,real_market_simulation
TXN-000008,CUST-0170,government_lab,CHEM-5280863,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",specialty_chemicals,VWR,100,203.74,181.75,18175.22,6.1,2025-04-04,4,Q2,NET60,real_market_simulation
TXN-000009,CUST-0171,government_lab,CHEM-5090,3-(4-methylsulfonylphenyl)-4-phenyl-2H-furan-5-one,specialty_chemicals,VWR,81,259.51,238.54,19322.03,12.46,2024-11-04,11,Q4,NET60,real_market_simulation
TXN-000010,CUST-0123,pharma_enterprise,CHEM-5280934,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",organic_chemicals,Sigma-Aldrich,100,227.38,192.74,19274.39,5.81,2025-05-08,5,Q2,NET45,real_market_simulation
